# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "analyses/03_annotation/prokka/pacbio_prokka/E745.gff" "-o" "analyses/06_read_counting/featurecounts/gene_counts.txt" "-T" "4" "-p" "-t" "CDS" "-g" "ID" "analyses/05_mapping/bowtie2/bam/ERR1797969.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797970.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797971.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797972.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797973.subsampled.sorted.bam" "analyses/05_mapping/bowtie2/bam/ERR1797974.subsampled.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	analyses/05_mapping/bowtie2/bam/ERR1797969.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797970.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797971.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797972.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797973.subsampled.sorted.bam	analyses/05_mapping/bowtie2/bam/ERR1797974.subsampled.sorted.bam
E745_00775	CP014529.1	782352	782798	+	447	10	6	6	1	1	0
E745_00776	CP014529.1	782800	782937	+	138	3	4	3	0	3	0
E745_00777	CP014529.1	782975	783268	+	294	2	1	2	0	2	1
E745_00778	CP014529.1	783265	783489	+	225	2	2	2	0	2	0
E745_00779	CP014529.1	783486	784511	+	1026	4	6	4	2	0	0
E745_00781	CP014529.1	785451	785741	+	291	39	52	31	25	24	22
E745_00782	CP014529.1	785777	786613	+	837	129	68	120	65	27	44
E745_00783	CP014529.1	786698	787192	-	495	12	20	6	6	6	6
E745_00784	CP014529.1	787536	787943	+	408	142	165	100	162	112	123
E745_00785	CP014529.1	787957	788358	+	402	25	17	17	15	27	35
E745_00786	CP014529.1	788360	788731	+	372	91	103	97	76	63	66
E745_00787	CP014529.1	788767	789066	-	300	6	1	2	0	4	8
E745_00788	CP014529.1	789081	789302	-	222	2	3	0	8	3	4
E745_00789	CP014529.1	789922	791109	+	1188	10	12	8	22	22	17
E745_00790	CP014529.1	791453	791725	+	273	2	0	0	0	2	4
E745_00791	CP014529.1	791740	792663	+	924	15	12	9	10	2	2
E745_00792	CP014529.1	792803	793555	-	753	13	20	17	16	18	17
E745_00793	CP014529.1	793778	794140	+	363	16	18	20	18	20	18
E745_00794	CP014529.1	794777	796249	+	1473	125	157	104	234	220	201
E745_00795	CP014529.1	796261	797085	+	825	130	195	171	173	175	161
E745_00796	CP014529.1	797158	798048	-	891	14	10	10	10	6	10
E745_00797	CP014529.1	798246	799763	+	1518	2	2	0	4	2	0
E745_00798	CP014529.1	799753	801024	+	1272	0	0	2	2	2	2
E745_00799	CP014529.1	801199	802095	+	897	2	0	8	2	0	2
E745_00800	CP014529.1	802109	802972	+	864	4	0	2	0	2	0
E745_00801	CP014529.1	802978	803541	+	564	0	0	0	0	2	0
E745_00802	CP014529.1	803563	805074	+	1512	4	14	4	8	0	10
E745_00803	CP014529.1	805086	806045	+	960	12	2	2	10	4	8
E745_00804	CP014529.1	806131	807210	+	1080	24	31	22	26	18	32
E745_00805	CP014529.1	807462	808862	-	1401	2	14	2	6	4	4
E745_00806	CP014529.1	809080	810741	+	1662	2	2	0	0	2	0
E745_00807	CP014529.1	810698	811396	+	699	0	0	0	0	0	0
E745_00808	CP014529.1	811412	812836	+	1425	0	4	2	0	0	2
E745_00809	CP014529.1	813143	814303	+	1161	9	8	6	12	15	4
E745_00810	CP014529.1	814421	816280	+	1860	48	58	44	46	31	40
E745_00811	CP014529.1	816390	816824	+	435	30	37	49	60	59	44
E745_00812	CP014529.1	817083	817244	-	162	17	14	13	11	9	7
E745_00813	CP014529.1	817263	818285	-	1023	16	36	27	36	30	29
E745_00814	CP014529.1	818413	818766	+	354	42	46	42	25	64	30
E745_00815	CP014529.1	818778	819944	+	1167	97	118	85	45	55	43
E745_00816	CP014529.1	820036	820656	-	621	28	40	34	116	116	130
E745_00817	CP014529.1	820848	821144	-	297	16	14	20	18	6	6
E745_00818	CP014529.1	821348	821998	+	651	0	4	6	21	16	6
E745_00819	CP014529.1	822014	823741	+	1728	9	6	21	47	50	36
E745_00820	CP014529.1	823738	823992	+	255	2	4	0	0	2	5
E745_00821	CP014529.1	823992	825629	+	1638	24	24	28	53	46	68
E745_00822	CP014529.1	826333	827202	+	870	185	192	193	122	114	108
E745_00823	CP014529.1	827411	828436	+	1026	22	16	33	32	30	26
E745_00824	CP014529.1	828475	829425	+	951	108	145	144	147	140	146
E745_00825	CP014529.1	829561	829911	+	351	2	3	6	2	2	0
E745_00826	CP014529.1	829908	831227	+	1320	16	12	4	6	8	10
E745_00827	CP014529.1	831229	833262	+	2034	4	0	4	6	7	4
E745_00828	CP014529.1	833273	833713	+	441	4	2	2	6	2	0
E745_00829	CP014529.1	833913	835040	-	1128	0	0	0	8	4	0
E745_00830	CP014529.1	835043	835720	-	678	0	0	0	0	2	0
E745_00831	CP014529.1	835984	837750	+	1767	2	2	4	0	0	2
E745_00832	CP014529.1	837765	838202	+	438	0	0	0	0	2	0
E745_00833	CP014529.1	838215	839366	+	1152	0	0	0	4	2	0
E745_00834	CP014529.1	839428	840126	-	699	28	45	44	89	79	66
E745_00835	CP014529.1	840119	841471	-	1353	27	39	43	117	93	101
E745_00836	CP014529.1	841694	843094	-	1401	16	34	28	18	8	30
E745_00837	CP014529.1	843255	843992	+	738	18	17	32	18	16	21
E745_00838	CP014529.1	844117	844596	+	480	111	114	101	62	67	82
E745_00839	CP014529.1	844593	845360	+	768	106	122	105	89	90	84
E745_00840	CP014529.1	845590	846159	+	570	28	48	36	40	36	34
E745_00841	CP014529.1	846263	846865	-	603	64	54	62	64	74	48
E745_00842	CP014529.1	846971	847201	+	231	4	1	7	13	6	1
E745_00843	CP014529.1	847192	847440	+	249	6	6	8	6	0	7
E745_00844	CP014529.1	847534	848130	+	597	18	33	38	85	86	88
E745_00845	CP014529.1	848133	849206	+	1074	68	98	90	205	221	155
E745_00846	CP014529.1	849199	850038	+	840	22	22	23	80	61	76
E745_00847	CP014529.1	850232	851257	+	1026	19	26	29	86	66	85
E745_00848	CP014529.1	851254	851415	+	162	14	11	4	17	8	22
E745_00849	CP014529.1	851432	852676	+	1245	248	335	250	287	165	161
E745_00850	CP014529.1	852829	853776	+	948	161	178	148	59	62	46
E745_00851	CP014529.1	853910	854539	+	630	237	225	258	164	164	148
E745_00852	CP014529.1	854678	854920	-	243	60	91	76	12	24	33
E745_00854	CP014529.1	855232	855870	-	639	54	72	90	18	25	26
E745_00855	CP014529.1	855993	856625	-	633	0	0	2	4	4	4
E745_00856	CP014529.1	856976	857275	+	300	19	12	14	14	6	4
E745_00857	CP014529.1	857770	859935	+	2166	80	98	64	280	217	231
E745_00858	CP014529.1	860207	860692	-	486	14	14	13	15	2	3
E745_00859	CP014529.1	861172	861813	+	642	4	9	3	12	5	13
E745_00860	CP014529.1	861832	862467	+	636	1	5	5	10	10	3
E745_00861	CP014529.1	862485	863300	+	816	16	22	8	44	28	34
E745_00862	CP014529.1	863619	865055	+	1437	62	60	62	66	34	38
E745_00863	CP014529.1	865244	867691	+	2448	166	184	151	266	275	238
E745_00864	CP014529.1	867921	868988	+	1068	24	32	46	128	110	112
E745_00865	CP014529.1	869181	870284	-	1104	108	143	136	16	10	6
E745_00866	CP014529.1	870837	871385	+	549	6	10	4	8	8	8
E745_00867	CP014529.1	871931	873592	+	1662	4686	4600	4423	63	33	20
E745_00868	CP014529.1	873662	874009	-	348	179	219	219	2	4	6
E745_00869	CP014529.1	874093	875034	+	942	359	429	436	6	4	4
E745_00870	CP014529.1	875035	876078	+	1044	335	396	414	10	12	10
E745_00871	CP014529.1	876084	877154	+	1071	913	921	843	16	15	18
E745_00872	CP014529.1	877144	878097	+	954	713	822	673	20	17	13
E745_00873	CP014529.1	878109	879119	+	1011	1141	1126	1030	39	28	18
E745_00874	CP014529.1	879404	880225	-	822	148	144	159	96	87	82
E745_00875	CP014529.1	880322	880600	-	279	12	6	21	6	17	6
E745_00876	CP014529.1	880868	882877	+	2010	382	397	386	768	598	623
E745_00877	CP014529.1	883356	883943	-	588	4	20	22	14	16	14
E745_00878	CP014529.1	884118	885440	+	1323	46	49	33	78	56	82
E745_00879	CP014529.1	885595	886371	+	777	19	21	18	39	31	30
E745_00880	CP014529.1	886364	886933	+	570	27	28	33	58	43	47
E745_00881	CP014529.1	886926	887810	+	885	44	40	50	114	109	120
E745_00882	CP014529.1	888261	888890	+	630	495	569	548	8	10	18
E745_00883	CP014529.1	889014	890123	-	1110	66	83	81	16	20	18
E745_00884	CP014529.1	890332	890754	+	423	16	20	12	4	4	1
E745_00885	CP014529.1	891077	891613	+	537	3115	2921	3293	282	250	243
E745_00886	CP014529.1	891653	893416	-	1764	50	52	57	48	58	50
E745_00887	CP014529.1	893419	895134	-	1716	40	48	66	86	88	72
E745_00888	CP014529.1	895913	896137	-	225	2	4	0	0	0	2
E745_00889	CP014529.1	896337	899105	+	2769	0	0	2	4	4	6
E745_00890	CP014529.1	899186	899605	+	420	0	0	4	0	0	0
E745_00891	CP014529.1	899617	900087	+	471	2	6	10	0	0	0
E745_00892	CP014529.1	900104	900883	+	780	2	0	0	0	0	0
E745_00893	CP014529.1	900870	901691	+	822	0	0	0	0	0	0
E745_00894	CP014529.1	901708	902757	+	1050	0	0	4	2	2	0
E745_00895	CP014529.1	902770	903774	+	1005	2	2	0	0	0	0
E745_00896	CP014529.1	904407	905426	+	1020	73	82	74	112	106	86
E745_00897	CP014529.1	905592	906842	-	1251	27	17	26	24	35	37
E745_00898	CP014529.1	907252	908133	+	882	93	108	105	124	102	88
E745_00899	CP014529.1	908433	908810	+	378	20	10	12	8	12	16
E745_00900	CP014529.1	909416	910030	+	615	0	0	0	6	4	2
E745_00901	CP014529.1	910803	912542	+	1740	200	198	214	338	317	251
E745_00902	CP014529.1	912699	913883	+	1185	114	135	95	276	203	191
E745_00903	CP014529.1	913994	914197	+	204	1122	973	1038	183	119	149
E745_00904	CP014529.1	914298	914960	-	663	0	2	0	0	2	0
E745_00905	CP014529.1	914973	916475	-	1503	0	0	0	2	0	2
E745_00906	CP014529.1	917023	918702	+	1680	429	464	482	387	444	332
E745_00907	CP014529.1	918832	919308	+	477	4	2	4	4	0	2
E745_00908	CP014529.1	919527	920207	+	681	48	27	50	48	25	22
E745_00909	CP014529.1	920215	921546	+	1332	32	44	45	69	35	27
E745_00910	CP014529.1	921561	922523	+	963	69	52	50	76	73	61
E745_00911	CP014529.1	922634	922972	+	339	95	106	90	245	170	157
E745_00912	CP014529.1	923051	923758	+	708	222	194	218	253	172	209
E745_00913	CP014529.1	923861	925342	-	1482	6	0	2	6	6	2
E745_00914	CP014529.1	925654	926187	+	534	0	0	0	10	4	6
E745_00915	CP014529.1	926265	927635	+	1371	18	9	20	62	73	62
E745_00916	CP014529.1	927702	928037	+	336	174	197	167	39	40	54
E745_00917	CP014529.1	928118	928975	-	858	12	12	12	6	11	12
E745_00918	CP014529.1	929082	929597	+	516	6	22	10	52	28	42
E745_00919	CP014529.1	929691	929945	+	255	10	2	14	0	2	2
E745_00920	CP014529.1	929914	931299	+	1386	43	34	36	26	35	45
E745_00921	CP014529.1	931336	932013	+	678	48	57	56	137	97	92
E745_00922	CP014529.1	932021	932785	+	765	109	112	127	132	134	114
E745_00923	CP014529.1	932787	933446	+	660	32	41	33	49	54	50
E745_00924	CP014529.1	933476	933985	-	510	42	32	34	20	11	21
E745_00925	CP014529.1	934097	935095	-	999	32	38	42	18	19	13
E745_00926	CP014529.1	935296	935880	+	585	106	146	110	274	218	165
E745_00927	CP014529.1	935957	937132	-	1176	34	42	41	50	42	48
E745_00928	CP014529.1	937214	937594	+	381	8	13	33	48	27	48
E745_00929	CP014529.1	937668	938030	+	363	302	389	306	73	77	88
E745_00934	CP014529.1	944204	945040	-	837	6	5	5	2	7	7
E745_00935	CP014529.1	945076	945366	-	291	5	2	3	2	2	3
E745_00936	CP014529.1	945575	945949	+	375	22	30	30	4	0	8
E745_00937	CP014529.1	946063	946692	-	630	7	8	6	0	0	6
E745_00940	CP014529.1	947323	947487	-	165	29	14	12	6	6	6
E745_00941	CP014529.1	947782	949110	+	1329	360	405	330	63	66	68
E745_00942	CP014529.1	949312	950145	+	834	21	18	19	30	20	14
E745_00943	CP014529.1	950161	950898	+	738	44	29	34	38	41	51
E745_00944	CP014529.1	951053	952021	-	969	28	22	20	81	56	69
E745_00945	CP014529.1	952253	953086	+	834	91	69	54	42	45	38
E745_00946	CP014529.1	953120	953959	+	840	62	86	55	37	39	26
E745_00947	CP014529.1	953985	954545	+	561	51	74	57	41	38	40
E745_00948	CP014529.1	954744	956465	+	1722	691	620	648	1264	1024	1158
E745_00949	CP014529.1	956630	957772	+	1143	34	48	32	128	72	74
E745_00950	CP014529.1	957788	958999	+	1212	76	115	86	204	130	179
E745_00951	CP014529.1	959572	960219	+	648	16	32	14	0	0	0
E745_00952	CP014529.1	960612	963257	+	2646	269	287	269	696	618	635
E745_00953	CP014529.1	963567	964880	+	1314	86	72	90	86	125	97
E745_00954	CP014529.1	964870	965523	+	654	36	67	34	41	35	33
E745_00955	CP014529.1	965578	966270	+	693	2	2	6	13	16	16
E745_00956	CP014529.1	966420	966620	+	201	1797	1734	1889	2725	2399	2053
E745_00957	CP014529.1	966874	968553	-	1680	300	271	311	464	437	402
E745_00958	CP014529.1	968555	968767	-	213	46	74	57	109	150	140
E745_00959	CP014529.1	969160	970890	+	1731	40	60	42	61	56	86
E745_00960	CP014529.1	970887	972647	+	1761	42	58	88	134	123	89
E745_00961	CP014529.1	972742	972939	+	198	27	30	26	11	24	20
E745_00962	CP014529.1	973092	973577	+	486	14	22	18	18	17	8
E745_00963	CP014529.1	973681	974274	-	594	76	50	64	174	169	142
E745_00964	CP014529.1	974454	974981	+	528	22	20	28	45	30	44
E745_00965	CP014529.1	975072	975809	+	738	12	15	20	37	34	35
E745_00966	CP014529.1	975813	976730	+	918	48	52	51	26	43	38
E745_00967	CP014529.1	976732	977961	+	1230	120	102	111	83	90	66
E745_00968	CP014529.1	977995	978948	-	954	16	20	16	18	8	6
E745_00969	CP014529.1	979599	981212	-	1614	34	44	38	12	10	23
E745_00970	CP014529.1	981353	982252	-	900	2	0	10	8	4	2
E745_00971	CP014529.1	982444	983568	+	1125	0	0	0	2	4	0
E745_00972	CP014529.1	983795	984712	+	918	0	0	2	0	0	0
E745_00973	CP014529.1	984705	985538	+	834	0	0	0	0	2	10
E745_00974	CP014529.1	985621	986739	+	1119	6	4	2	8	9	0
E745_00975	CP014529.1	986760	988631	+	1872	6	2	3	2	0	4
E745_00976	CP014529.1	988646	989848	+	1203	8	8	9	6	2	4
E745_00977	CP014529.1	989934	991868	-	1935	124	160	156	135	110	96
E745_00978	CP014529.1	992094	992750	+	657	84	98	88	140	146	102
E745_00979	CP014529.1	992824	993177	-	354	12	12	12	6	2	4
E745_00980	CP014529.1	993369	994298	+	930	2	4	0	2	3	2
E745_00981	CP014529.1	994309	995145	+	837	4	0	6	6	3	0
E745_00982	CP014529.1	995393	996169	+	777	0	0	0	0	0	0
E745_00983	CP014529.1	996345	997088	+	744	7	12	4	4	6	4
E745_00984	CP014529.1	997081	998661	+	1581	10	14	18	12	12	24
E745_00985	CP014529.1	998912	999391	-	480	9	10	18	10	8	4
E745_00986	CP014529.1	999407	1000159	-	753	37	28	24	33	28	23
E745_00988	CP014529.1	1000707	1001432	+	726	36	32	18	143	101	123
E745_00989	CP014529.1	1001687	1001953	+	267	332	277	275	147	103	113
E745_00990	CP014529.1	1001950	1002381	+	432	486	498	527	247	179	168
E745_00991	CP014529.1	1002406	1002711	+	306	584	710	581	261	243	204
E745_00992	CP014529.1	1002792	1003937	-	1146	74	80	66	62	36	46
E745_00993	CP014529.1	1003998	1004645	-	648	24	20	36	32	24	30
E745_00994	CP014529.1	1004839	1005132	+	294	2	0	0	0	0	0
E745_00995	CP014529.1	1005176	1005487	+	312	0	1	0	0	0	0
E745_00996	CP014529.1	1005484	1005723	+	240	0	0	0	0	0	2
E745_00997	CP014529.1	1005704	1006108	+	405	0	0	0	0	0	2
E745_00998	CP014529.1	1006249	1006407	+	159	0	0	0	0	0	0
E745_00999	CP014529.1	1006408	1006770	+	363	0	0	0	2	0	0
E745_01000	CP014529.1	1006807	1007655	+	849	0	0	0	2	0	0
E745_01001	CP014529.1	1007645	1009120	+	1476	6	8	2	10	8	12
E745_01002	CP014529.1	1009386	1009793	+	408	0	2	2	4	2	2
E745_01003	CP014529.1	1009796	1010011	+	216	0	1	0	0	0	0
E745_01004	CP014529.1	1010753	1011226	+	474	0	0	0	0	0	0
E745_01005	CP014529.1	1011223	1012917	+	1695	0	0	0	2	2	2
E745_01006	CP014529.1	1012883	1013068	+	186	0	0	1	2	2	0
E745_01007	CP014529.1	1013072	1014247	+	1176	4	2	0	0	1	0
E745_01008	CP014529.1	1014240	1015763	+	1524	4	7	4	16	8	10
E745_01009	CP014529.1	1015819	1016103	+	285	0	1	0	4	6	2
E745_01010	CP014529.1	1016090	1016425	+	336	0	0	0	0	2	0
E745_01011	CP014529.1	1016720	1017346	+	627	50	61	49	83	94	93
E745_01012	CP014529.1	1018088	1018924	+	837	10	6	9	14	2	5
E745_01013	CP014529.1	1019001	1019423	+	423	21	22	33	18	6	14
E745_01014	CP014529.1	1019491	1020813	-	1323	0	0	2	2	4	0
E745_01015	CP014529.1	1020967	1022607	-	1641	2	6	0	0	0	0
E745_01016	CP014529.1	1022937	1023407	+	471	23	8	14	8	12	8
E745_01017	CP014529.1	1024036	1025139	+	1104	17	6	20	14	4	6
E745_01018	CP014529.1	1025423	1026103	+	681	0	0	0	0	0	0
E745_01019	CP014529.1	1026193	1027227	+	1035	0	0	0	0	0	0
E745_01020	CP014529.1	1027241	1027576	+	336	0	0	0	0	2	0
E745_01021	CP014529.1	1027560	1030040	+	2481	6	2	6	10	14	6
E745_01022	CP014529.1	1030147	1031655	+	1509	22	26	7	14	24	9
E745_01023	CP014529.1	1031652	1033016	+	1365	16	10	10	22	26	22
E745_01024	CP014529.1	1033187	1034257	+	1071	8	10	10	28	14	21
E745_01025	CP014529.1	1034272	1034940	+	669	18	7	10	23	4	11
E745_01026	CP014529.1	1034960	1035538	+	579	19	17	6	28	22	31
E745_01027	CP014529.1	1035941	1036852	+	912	6	4	10	2	4	8
E745_01028	CP014529.1	1037108	1038025	-	918	12	26	22	30	32	31
E745_01029	CP014529.1	1038227	1038664	+	438	34	22	22	51	64	48
E745_01030	CP014529.1	1038722	1039270	+	549	11	12	18	38	15	21
E745_01031	CP014529.1	1039385	1041745	+	2361	359	332	324	477	421	378
E745_01032	CP014529.1	1041832	1042146	+	315	59	63	63	81	68	65
E745_01033	CP014529.1	1042328	1044106	+	1779	44	70	92	96	62	69
E745_01034	CP014529.1	1044251	1045150	+	900	119	91	104	95	76	62
E745_01035	CP014529.1	1045143	1046405	+	1263	171	206	177	115	90	76
E745_01036	CP014529.1	1046568	1048466	+	1899	43	64	62	71	77	63
E745_01037	CP014529.1	1048765	1049484	-	720	28	29	54	45	35	43
E745_01038	CP014529.1	1049830	1050153	+	324	46	51	53	97	77	70
E745_01039	CP014529.1	1050140	1052143	+	2004	256	222	204	303	308	289
E745_01040	CP014529.1	1052162	1052632	+	471	49	34	27	47	32	36
E745_01041	CP014529.1	1052653	1053237	+	585	111	92	99	82	100	82
E745_01042	CP014529.1	1053252	1054238	+	987	188	203	215	199	171	122
E745_01043	CP014529.1	1054228	1054539	+	312	50	65	49	60	30	59
E745_01044	CP014529.1	1054561	1056342	+	1782	332	387	311	423	338	330
E745_01045	CP014529.1	1056335	1057711	+	1377	500	530	564	540	400	446
E745_01046	CP014529.1	1057718	1058353	+	636	243	258	242	226	203	184
E745_01047	CP014529.1	1058383	1059738	+	1356	170	231	164	261	186	156
E745_01048	CP014529.1	1059930	1061324	-	1395	2	2	0	18	10	10
E745_01049	CP014529.1	1061416	1062387	+	972	0	2	0	2	12	12
E745_01050	CP014529.1	1062384	1063166	+	783	2	4	4	12	4	4
E745_01051	CP014529.1	1063335	1063706	-	372	148	178	160	64	56	86
E745_01052	CP014529.1	1063840	1064283	+	444	16	14	20	14	12	12
E745_01053	CP014529.1	1064326	1065135	-	810	48	30	36	104	78	78
E745_01054	CP014529.1	1065154	1066521	-	1368	67	46	24	88	61	52
E745_01055	CP014529.1	1066505	1067335	-	831	8	0	10	21	13	24
E745_01056	CP014529.1	1067498	1067935	+	438	24	19	25	26	27	32
E745_01057	CP014529.1	1068011	1068631	+	621	360	328	325	1176	838	978
E745_01058	CP014529.1	1068820	1069326	+	507	5	4	2	4	6	6
E745_01059	CP014529.1	1069343	1070242	+	900	10	19	16	7	8	14
E745_01060	CP014529.1	1070329	1071213	+	885	6	16	14	20	9	14
E745_01062	CP014529.1	1071536	1072870	+	1335	66	68	80	16	28	26
E745_01063	CP014529.1	1073073	1074110	+	1038	77	71	81	309	289	264
E745_01064	CP014529.1	1074151	1075152	+	1002	1746	2068	1959	5546	6135	5875
E745_01065	CP014529.1	1075262	1076452	+	1191	1079	1063	1208	2349	2307	2099
E745_01066	CP014529.1	1076556	1077311	+	756	611	615	566	2262	1992	1639
E745_01067	CP014529.1	1077427	1078725	+	1299	1689	1769	1760	4213	3802	3677
E745_01068	CP014529.1	1079262	1079798	+	537	12	2	10	2	6	10
E745_01069	CP014529.1	1079795	1080601	+	807	0	0	0	2	0	2
E745_01070	CP014529.1	1080603	1081616	-	1014	0	2	4	3	1	6
E745_01071	CP014529.1	1082066	1083205	+	1140	74	43	76	58	34	46
E745_01072	CP014529.1	1083272	1083847	-	576	70	67	61	114	85	78
E745_01073	CP014529.1	1083852	1084826	-	975	173	155	146	397	308	266
E745_01074	CP014529.1	1085109	1086077	+	969	32	40	50	64	22	30
E745_01075	CP014529.1	1086190	1086468	+	279	83	84	56	19	22	33
E745_01076	CP014529.1	1086586	1086822	+	237	50	52	56	32	49	48
E745_01077	CP014529.1	1086925	1087680	+	756	52	40	47	44	36	19
E745_01078	CP014529.1	1087683	1090040	+	2358	377	365	335	384	335	344
E745_01079	CP014529.1	1090062	1090526	+	465	72	81	54	58	55	61
E745_01080	CP014529.1	1090828	1091547	+	720	127	139	144	219	170	194
E745_01081	CP014529.1	1091600	1091815	+	216	38	59	49	68	76	87
E745_01082	CP014529.1	1091906	1092430	+	525	110	118	100	195	158	147
E745_01083	CP014529.1	1092417	1092959	+	543	96	80	60	82	98	87
E745_01084	CP014529.1	1092982	1094538	+	1557	472	595	519	647	609	650
E745_01085	CP014529.1	1094552	1095454	+	903	298	305	256	470	426	365
E745_01086	CP014529.1	1095477	1096883	+	1407	438	520	417	699	648	603
E745_01087	CP014529.1	1096897	1097319	+	423	251	195	229	273	209	234
E745_01088	CP014529.1	1097788	1098018	+	231	37	39	43	36	38	16
E745_01089	CP014529.1	1098115	1099416	+	1302	523	513	493	553	522	525
E745_01090	CP014529.1	1099429	1099605	+	177	26	27	39	19	25	23
E745_01091	CP014529.1	1099740	1100036	+	297	15	20	13	4	13	19
E745_01092	CP014529.1	1100220	1100687	+	468	9	17	16	18	12	5
E745_01093	CP014529.1	1100772	1101656	+	885	7	13	4	12	4	3
E745_01094	CP014529.1	1101770	1102006	+	237	6	11	4	41	32	18
E745_01097	CP014529.1	1102377	1102547	+	171	206	252	268	42	55	60
E745_01098	CP014529.1	1102767	1103474	+	708	59	38	45	15	24	25
E745_01099	CP014529.1	1103534	1104178	-	645	24	10	17	10	18	28
E745_01100	CP014529.1	1104305	1104592	+	288	6	7	7	2	6	8
E745_01101	CP014529.1	1104700	1105020	+	321	24	17	28	27	20	28
E745_01102	CP014529.1	1105101	1106414	+	1314	0	2	0	8	2	6
E745_01103	CP014529.1	1106411	1107130	+	720	0	0	2	4	0	2
E745_01104	CP014529.1	1107258	1107809	+	552	1459	1513	1601	366	344	300
E745_01105	CP014529.1	1108031	1110565	+	2535	679	784	655	638	491	451
E745_01106	CP014529.1	1110809	1111792	+	984	77	78	49	120	70	86
E745_01107	CP014529.1	1111897	1112583	+	687	131	155	155	140	113	89
E745_01108	CP014529.1	1112567	1113460	+	894	220	180	175	98	110	110
E745_01109	CP014529.1	1113612	1115060	+	1449	60	54	56	28	34	38
E745_01110	CP014529.1	1115397	1116254	+	858	59	52	40	38	21	26
E745_01111	CP014529.1	1116369	1117289	+	921	91	99	94	46	33	60
E745_01112	CP014529.1	1117289	1118173	+	885	76	99	55	24	48	28
E745_01113	CP014529.1	1118188	1118994	+	807	119	133	128	91	69	66
E745_01114	CP014529.1	1119010	1119768	+	759	96	126	122	76	53	52
E745_01115	CP014529.1	1119781	1120458	+	678	186	168	153	137	120	115
E745_01116	CP014529.1	1120696	1121727	+	1032	8	10	12	12	2	10
E745_01117	CP014529.1	1121724	1122491	+	768	2	2	0	8	0	2
E745_01118	CP014529.1	1122591	1124159	+	1569	313	337	261	301	284	256
E745_01119	CP014529.1	1124456	1124776	+	321	86	83	104	80	78	96
E745_01120	CP014529.1	1124776	1125126	+	351	3	6	1	5	0	5
E745_01121	CP014529.1	1125248	1126543	-	1296	6	4	11	16	9	6
E745_01122	CP014529.1	1126815	1127753	+	939	96	66	61	82	60	56
E745_01123	CP014529.1	1127768	1128598	+	831	36	72	60	64	54	55
E745_01124	CP014529.1	1128642	1129667	+	1026	204	235	211	180	132	154
E745_01125	CP014529.1	1129682	1130620	+	939	287	297	328	200	231	169
E745_01126	CP014529.1	1130745	1131185	+	441	73	64	58	16	33	25
E745_01127	CP014529.1	1131188	1131790	+	603	553	577	576	255	220	163
E745_01128	CP014529.1	1131849	1132955	-	1107	136	157	123	188	148	134
E745_01129	CP014529.1	1133165	1134166	+	1002	392	380	339	562	475	463
E745_01130	CP014529.1	1134503	1136848	-	2346	563	636	586	336	304	286
E745_01131	CP014529.1	1137127	1138029	+	903	24	16	20	206	124	134
E745_01132	CP014529.1	1138454	1139641	+	1188	48	40	71	20	19	28
E745_01133	CP014529.1	1139862	1141637	+	1776	6	10	20	20	20	14
E745_01134	CP014529.1	1141703	1143289	-	1587	68	76	84	123	172	132
E745_01135	CP014529.1	1143540	1143764	+	225	44	67	46	56	67	44
E745_01136	CP014529.1	1143906	1145657	+	1752	99	122	111	70	28	40
E745_01137	CP014529.1	1145657	1147441	+	1785	68	120	89	19	30	19
E745_01138	CP014529.1	1147767	1148618	+	852	2	2	0	0	2	0
E745_01139	CP014529.1	1148714	1150600	+	1887	4	2	0	6	4	4
E745_01140	CP014529.1	1150640	1151542	-	903	6	4	8	0	0	2
E745_01141	CP014529.1	1151773	1153176	+	1404	30	22	30	8	13	8
E745_01142	CP014529.1	1153176	1154609	+	1434	40	41	38	12	10	12
E745_01143	CP014529.1	1154754	1155680	+	927	96	122	100	204	162	135
E745_01144	CP014529.1	1155894	1157621	+	1728	237	232	269	478	472	443
E745_01145	CP014529.1	1157693	1157986	+	294	12	11	9	18	18	20
E745_01146	CP014529.1	1158078	1158938	-	861	6	18	18	20	18	26
E745_01147	CP014529.1	1159030	1159458	+	429	7	8	4	35	22	24
E745_01148	CP014529.1	1159620	1159796	+	177	882	1056	1030	1180	1204	1195
E745_01149	CP014529.1	1159823	1160269	+	447	1343	1396	1374	1617	1552	1562
E745_01150	CP014529.1	1160423	1161802	-	1380	0	8	6	8	6	2
E745_01151	CP014529.1	1162508	1163479	+	972	86	90	98	92	88	70
E745_01152	CP014529.1	1163503	1165695	+	2193	255	394	309	346	265	290
E745_01153	CP014529.1	1165727	1166188	+	462	87	70	61	61	48	47
E745_01154	CP014529.1	1166172	1166567	+	396	54	30	51	64	26	44
